rank,metric,strategy_a,strategy_b,mean_a,mean_b,mean_diff_a_minus_b,t_stat,p_value,significant_p_lt_0_05
32,val_relative_mse,change_a_b,svd_full,0.09439652630254973,0.23797037685897132,-0.1435738505564216,-618.9038203000453,4.089319447300171e-11,True
32,val_relative_mse,change_a_b,svd_noscale,0.09439652630254973,0.38703781107778956,-0.2926412847752399,-627.9496102726226,3.858732980559658e-11,True
32,val_relative_mse,change_a_b,svd_sqrt,0.09439652630254973,0.31136418676234967,-0.21696766045979993,-623.5739097184091,3.968186363264003e-11,True
32,val_relative_mse,change_b,mlp_log_singular_values,0.09439649999816696,0.08952261474911676,0.004873885249050203,421.17940343126827,1.9066300285207958e-10,True
32,val_relative_mse,change_b,pca,0.09439649999816696,0.3111175995719916,-0.21672109957382463,-624.033294851781,3.956514561032077e-11,True
32,val_relative_mse,change_b,random_orthogonal,0.09439649999816696,0.5598892282018053,-0.46549272820363835,-2065.6351474480302,3.295612286087038e-13,True
32,val_relative_mse,change_b,svd_full,0.09439649999816696,0.23797037685897132,-0.1435738768608044,-618.9226395877844,4.088822106309025e-11,True
32,val_relative_mse,change_b,svd_noscale,0.09439649999816696,0.38703781107778956,-0.2926413110796226,-627.9590760576422,3.858500323346039e-11,True
32,val_relative_mse,change_b,svd_sqrt,0.09439649999816696,0.31136418676234967,-0.21696768676418268,-623.5864509505825,3.9678671515905395e-11,True
32,val_relative_mse,mlp_log_singular_values,pca,0.08952261474911676,0.3111175995719916,-0.22159498482287482,-627.9983349014233,3.857535576982996e-11,True
32,val_relative_mse,mlp_log_singular_values,random_orthogonal,0.08952261474911676,0.5598892282018053,-0.4703666134526885,-2033.896694219955,3.506186302140008e-13,True
32,val_relative_mse,mlp_log_singular_values,svd_full,0.08952261474911676,0.23797037685897132,-0.14844776210985458,-625.0836263236662,3.929989124330973e-11,True
32,val_relative_mse,mlp_log_singular_values,svd_noscale,0.08952261474911676,0.38703781107778956,-0.2975151963286728,-631.1268608773196,3.781615111677707e-11,True
